sample	fastq1
1725_M347	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1535442/ERR1535442.fastq.gz
1725_M354	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1535443/ERR1535443.fastq.gz
1756_M348	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1535444/ERR1535444.fastq.gz
1756_M349	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1535445/ERR1535445.fastq.gz
1756_M351	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1535446/ERR1535446.fastq.gz
1756_M352	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1535447/ERR1535447.fastq.gz
1756_M358	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1535448/ERR1535448.fastq.gz
1756_M388	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1535449/ERR1535449.fastq.gz
1756_M440	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1535450/ERR1535450.fastq.gz
1756_M576	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1535451/ERR1535451.fastq.gz
1756_M578	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1535452/ERR1535452.fastq.gz
1857_M874	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1535453/ERR1535453.fastq.gz
1857_M879	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1535454/ERR1535454.fastq.gz
1857_M883	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1535455/ERR1535455.fastq.gz
1857_M891	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1535456/ERR1535456.fastq.gz
1857_M899	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1535457/ERR1535457.fastq.gz
1857_M904	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1535458/ERR1535458.fastq.gz
1857_M907	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1535459/ERR1535459.fastq.gz
1857_M912	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1535460/ERR1535460.fastq.gz
1866_M888	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1535461/ERR1535461.fastq.gz
2119_M605	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1535462/ERR1535462.fastq.gz
2119_M895	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1535463/ERR1535463.fastq.gz
