sample	fastq1
2865_1_11SJK246-04	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1535026/ERR1535026.fastq.gz
2865_2_11SJK247-03	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1535027/ERR1535027.fastq.gz
2865_3_11SJK248-04	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1535028/ERR1535028.fastq.gz
2865_4_11SJK248-03	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1535029/ERR1535029.fastq.gz
2865_5_11SJK252-04	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1535030/ERR1535030.fastq.gz
2865_6_11SJK252-03	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1535031/ERR1535031.fastq.gz
2865_7_11SJK253-03	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1535032/ERR1535032.fastq.gz
2865_8_11SJK254-03	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1535033/ERR1535033.fastq.gz
2865_9_11SJK255-03	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1535034/ERR1535034.fastq.gz
2865_10_11SJK255-04	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1535035/ERR1535035.fastq.gz
2865_11_11SJK260-03	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1535036/ERR1535036.fastq.gz
2865_12_11SJK260-04	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1535037/ERR1535037.fastq.gz
2865_13_11SJK214-03	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1535038/ERR1535038.fastq.gz
2865_14_11SJK214-04	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1535039/ERR1535039.fastq.gz
2865_15_11SJK215-04	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1535040/ERR1535040.fastq.gz
2865_16_11SJK215-03	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1535041/ERR1535041.fastq.gz
2865_17_11SJK220-04	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1535042/ERR1535042.fastq.gz
2865_18_11SJK226-04	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1535043/ERR1535043.fastq.gz
2865_19_11SJK231-04	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1535044/ERR1535044.fastq.gz
2865_20_11SJK233-04	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1535045/ERR1535045.fastq.gz
