mouse	genotype	pathology_type
10KOU033	WapCre;Cdh1F/+;SB	adenocarcinoma
11KOU046	WapCre;Cdh1F/+;SB	adenocarcinoma
14SKA062	WapCre;Cdh1F/+;SB	adenocarcinoma
14SKA124	WapCre;Cdh1F/+;SB	spindle cell tumor
11KOU059	WapCre;Cdh1F/F	spindle cell tumor
12SKA030	WapCre;Cdh1F/F	spindle cell tumor
12SKA076	WapCre;Cdh1F/F	spindle cell tumor
12SKA081	WapCre;Cdh1F/F	spindle cell tumor
12SKA096	WapCre;Cdh1F/F	spindle cell tumor
12SKA112	WapCre;Cdh1F/F	ILC
12SKA126	WapCre;Cdh1F/F	"spindle cell tumor, ILC"
12SKA131	WapCre;Cdh1F/F	ILC
13SKA063	WapCre;Cdh1F/F	spindle cell tumor
13SKA069	WapCre;Cdh1F/F	spindle cell tumor
13SKA100	WapCre;Cdh1F/F	"spindle cell tumor, ILC"
13SKA142	WapCre;Cdh1F/F	ILC
13SKA162	WapCre;Cdh1F/F	"spindle cell tumor, ILC"
13SKA173	WapCre;Cdh1F/F	ILC
13SKA187	WapCre;Cdh1F/F	"spindle cell tumor, ILC"
13SKA204	WapCre;Cdh1F/F	spindle cell tumor
