sample	t2onc_type	dnaseq_run	rnaseq_run	rnaseq_id	mouse	pathology_type	include_shearsplink
11KOU012-R3	chr15-donor	SBecad	run120	1566_6_11KOU012-R3	11KOU012	"Spindle cell tumor, ILC"	TRUE
11KOU012-R5	chr15-donor	SBecad	run120	1566_7_11KOU012-R5	11KOU012	ILC	TRUE
11KOU015	chr1-donor	SBecad	run120	1566_8_11KOU015	11KOU015	Spindle cell tumor 	FALSE
11KOU018	chr1-donor	SBecad	run120	1566_9_11KOU018	11KOU018	"Squamous, spindle cell, ILC"	TRUE
11KOU023	chr15-donor	SBecad	run120	1566_10_11KOU023	11KOU023	ILC	TRUE
11KOU024	chr15-donor	SBecad	run120	1566_11_11KOU024	11KOU024	"ILC, squamous"	TRUE
11KOU028-L4	chr1-donor	SBecad	run120	1566_12_11KOU028-L4	11KOU028	ILC	TRUE
11KOU028-L5	chr1-donor	SBecad	run120	1566_13_11KOU028-L5	11KOU028	"Spindle cell tumor, ILC"	TRUE
11KOU028-R3	chr1-donor	SBecad	run215	2049_5_11KOU028-R3	11KOU028	ILC	TRUE
11KOU029-R1	chr15-donor	SBecad	run120	1566_14_11KOU029-R1	11KOU029	ILC	TRUE
11KOU029-R5	chr15-donor	SBecad	run120	1566_15_11KOU029-R5	11KOU029	"Spindle cell tumor, ILC"	TRUE
11KOU031-L3	chr1-donor	SBecad	run120	1566_16_11KOU031-L3	11KOU031	"Spindle cell tumor, ILC"	TRUE
11KOU031-R5	chr1-donor	SBecad	run120	1566_17_11KOU031-R5	11KOU031	"Squamous, spindle cell, ILC"	TRUE
11KOU032-L3	chr15-donor	SBecad	run120	1566_18_11KOU032-L3	11KOU032	"ILC, spindle cell tumor"	TRUE
11KOU032-R3	chr15-donor	SBecad	run120	1566_19_11KOU032-R3	11KOU032	"ILC, spindle cell tumor"	TRUE
11KOU035-R3	chr15-donor	SBecad	run120	1566_20_11KOU035-R3	11KOU035	ILC	TRUE
11KOU035-R4	chr15-donor	SBecad	run120	1566_21_11KOU035-R4	11KOU035	ILC	TRUE
11KOU037	chr1-donor	SBecad	run120	1566_22_11KOU037	11KOU037	"Spindle cell tumor, squamous"	FALSE
11KOU039	chr1-donor	SBecad	run215	2049_6_11KOU039	11KOU039	Spindle cell tumor	FALSE
11KOU049-L5	chr15-donor	Pool3.1	run215	2049_9_11KOU049-L5	11KOU049	Squamous 	FALSE
11KOU049-R3	chr15-donor	Pool3.1	run215	2049_10_11KOU049-R3	11KOU049	ILC	TRUE
11KOU050	chr15-donor	Pool3.1	run215	2049_11_11KOU050	11KOU050	"Spindle cell tumor, ILC"	TRUE
11KOU051-L2	chr1-donor	Pool3.1	run215	2049_12_11KOU051-L2	11KOU051	ILC	TRUE
11KOU051-R3	chr1-donor	Pool3.1	run215	2049_13_11KOU051-R3	11KOU051	"Spindle cell tumor, ILC"	TRUE
11KOU052	chr1-donor	Pool3.1	run215	2049_14_11KOU052	11KOU052	ILC	TRUE
11KOU053	chr1-donor	Pool3.1	run215	2049_15_11KOU053	11KOU053	"Squamous, ILC"	TRUE
11KOU057-L2	chr15-donor	Pool3.1	run215	2049_16_11KOU057-L2	11KOU057	Spindle cell tumor	FALSE
11KOU057-R3	chr15-donor	Pool3.1	run215	2049_17_11KOU057-R3	11KOU057	ILC	TRUE
11KOU058	chr1-donor	Pool3.1	run215	2049_18_11KOU058	11KOU058	"Squamous, ILC"	TRUE
11KOU062-L3	chr15-donor	Pool3.1	run215	2049_20_11KOU062-L3	11KOU062	"Squamous, ILC"	TRUE
11KOU062-R3	chr15-donor	Pool3.1	run215	2049_19_11KOU062-R3	11KOU062	ILC	TRUE
11KOU065	chr15-donor	Pool3.1	run215	2049_21_11KOU065	11KOU065	"Squamous, ILC"	TRUE
12SKA005	chr15-donor	Pool3.1	run215	2049_22_12SKA005	12SKA005	"Spindle cell tumor, ILC"	TRUE
12SKA013-R2	chr15-donor	Pool3.1	run215	2049_25_12SKA013-R2	12SKA013	"Squamous, ILC"	TRUE
12SKA013-R3	chr15-donor	Pool3.1	run215	2049_24_12SKA013-R3	12SKA013	"Spindle cell tumor, ILC"	TRUE
12SKA014	chr1-donor	Pool3.1	run215	2049_26_12SKA014	12SKA014	Squamous	FALSE
12SKA016	chr15-donor	Pool3.1	run215	2049_27_12SKA016	12SKA016	ILC	TRUE
12SKA017	chr15-donor	Pool3.1	run215	2049_28_12SKA017	12SKA017	"Squamous, spindle cell, ILC"	TRUE
12SKA018-L3	chr1-donor	Pool3.1	run215	2049_30_12SKA018-L3	12SKA018	ILC	TRUE
12SKA018-L5	chr1-donor	Pool3.1	run215	2049_31_12SKA018-L5	12SKA018	Spindle cell tumor	FALSE
12SKA018-R3	chr1-donor	Pool3.1	run215	2049_29_12SKA018-R3	12SKA018	ILC	TRUE
12SKA019	chr15-donor	Pool3.1	run215	2049_32_12SKA019	12SKA019	Spindle cell tumor	FALSE
